Название;Артикул ТД Елена;Цена ТД Елена;Артикул Натали;Цена Натали;Ссылка на артикул Натали;Артикул Гомани;Цена Гомани;Ссылка на артикул Гомани;Артикул ТД Валерия;Цена ТД Валерия;Ссылка на артикул ТД Валерия
Футболка;12016;440;025889;{'Опт': '495', 'Мелкий опт': '595', 'Розница': '990'};https://natali37.ru//product/25889;;;;;;;;;
Футболка;12115;335;018403;{'Опт': '355', 'Мелкий опт': '430', 'Розница': '710'};https://natali37.ru//product/18403;;;;;;;;;
Футболка;12016;440;025889;{'Опт': '495', 'Мелкий опт': '595', 'Розница': '990'};https://natali37.ru//product/25889;;;;;;;;;
Футболка 12005Па;12005;380;023976;{'Опт': '600', 'Мелкий опт': '720', 'Розница': '1200'};https://natali37.ru//product/23976;;;;;;;;;
Футболка 12105Пб;12105;335;024871;{'Опт': '455', 'Мелкий опт': '550', 'Розница': '910'};https://natali37.ru//product/24871;;;;;;;;;
Футболка 12005Пб;12005;380;023976;{'Опт': '600', 'Мелкий опт': '720', 'Розница': '1200'};https://natali37.ru//product/23976;;;;;;;;;
Футболка 12105Па;12105;335;024871;{'Опт': '455', 'Мелкий опт': '550', 'Розница': '910'};https://natali37.ru//product/24871;;;;;;;;;
Футболка 12115б;12115;335;018403;{'Опт': '355', 'Мелкий опт': '430', 'Розница': '710'};https://natali37.ru//product/18403;;;;;;;;;
Футболка 11903;11903;330;026123;{'Опт': '530', 'Мелкий опт': '640', 'Розница': '1060'};https://natali37.ru//product/26123;;;;;;;;;
Футболка;12115;335;018403;{'Опт': '355', 'Мелкий опт': '430', 'Розница': '710'};https://natali37.ru//product/18403;;;;;;;;;
Футболка;12115;335;018403;{'Опт': '355', 'Мелкий опт': '430', 'Розница': '710'};https://natali37.ru//product/18403;;;;;;;;;
Футболка   10006;10006;330;;;;С677-1;['-'];https://gomani.ru/product/futbolka-muzhskaya-x-b-artyom-odnotonnaya/;;;;;;
Брюки (начес) 11631;11631;890;020904;{'Опт': '1080', 'Мелкий опт': '1300', 'Розница': '2160'};https://natali37.ru//product/20904;;;;;;;;;
Брюки (ф/п) 11927Т;11927;870;013824;{'Опт': '720', 'Мелкий опт': '865', 'Розница': '1440'};https://natali37.ru//product/13824;;;;;;;;;
Брюки (начес) 11606;11606;780;;;;;;;1/13-1030н;990;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/uteplennye_3/bryuki_muzh_naches_chernyy/;1/13-1030н;990;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/uteplennye_3/bryuki_muzh_naches_chernyy/
Брюки (начес) 11815П;11815;790;013876;{'Опт': '720', 'Мелкий опт': '865', 'Розница': '1440'};https://natali37.ru//product/13876;;;;;;;;;
Брюки;12024;720;021084;{'Опт': '970', 'Мелкий опт': '1165', 'Розница': '1940'};https://natali37.ru//product/21084;;;;;;;;;
Брюки камуфл. 10131;10131;420;;;;;;;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/
Комплект (футб+шорты) 12210Па;12210;570;024190;{'Опт': '790', 'Мелкий опт': '950', 'Розница': '1580'};https://natali37.ru//product/24190;;;;;;;;;
Пижама (х/б);11725;810;;;;;;;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/
Шорты;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;
Шорты;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;
Шорты;12208;610;018397;{'Опт': '480', 'Мелкий опт': '580', 'Розница': '960'};https://natali37.ru//product/18397;;;;;;;;;
Шорты 12109Пг;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;
Шорты;12109;575;015652;{'Опт': '860', 'Мелкий опт': '1035', 'Розница': '1720'};https://natali37.ru//product/15652;;;;;;;;;
Шорты 11401А;11401;310;019021;{'Опт': '405', 'Мелкий опт': '490', 'Розница': '810'};https://natali37.ru//product/19021;;;;;;;;;
Шорты  11401;11401;310;019021;{'Опт': '405', 'Мелкий опт': '490', 'Розница': '810'};https://natali37.ru//product/19021;;;;;;;;;
Капри  10022;10022;290;;;;;;;1/13-1020к;490;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/shorty_3/bridzhi_2/bridzhi_muzh_kamuflyazh_gazeta_v_assortimente/;1/13-1020к;490;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/shorty_3/bridzhi_2/bridzhi_muzh_kamuflyazh_gazeta_v_assortimente/
Шорты  11514ВШ;11514;470;025363;{'Опт': '970', 'Мелкий опт': '1165', 'Розница': '1940'};https://natali37.ru//product/25363;;;;;;;;;
Толстовка (начес) 11624П;11624;875;014948;{'Опт': '930', 'Мелкий опт': '1120', 'Розница': '1860'};https://natali37.ru//product/14948;;;;;;;;;
Футболка   10006;10006;330;;;;С677-1;['-'];https://gomani.ru/product/futbolka-muzhskaya-x-b-artyom-odnotonnaya/;;;;;;
Брюки камуфл. 10131;10131;420;;;;;;;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/;1/13-1030к;520;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/bryuki_3/domashnie/bryuki_muzh_kamuflyazhnye_khlopok_v_assortimente/
Пижама (х/б);11725;810;;;;;;;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/;1/16-1082С;720;https://xn--80adfgpq0bk8j.xn--p1ai//catalog/dlya_muzhchin/pizhamy_2/pizhama_muzhskaya_khlopok_siniy_seryy_1/
Халат велсофт 11716;11716;1290;;;;С152-1;['-'];https://gomani.ru/product/xalat-muzhskoj-maxrovyj-2/;;;;;;
